,ETF 1 ,ETF 2,ETF 3,ETF 4,ETF 5,ETF 6,ETF 7,ETF 8,ETF 9,ETF 10,ETF 11,ETF 12,ETF 13,ETF 14,ETF 15,ETF 16,ETF 17,ETF 18,ETF 19,ETF 20,ETF 21,ETF 22,ETF 23,ETF 24,ETF 25,ETF 26,ETF 27,ETF 28,ETF 29,ETF 30,ETF 31,ETF 32,ETF 33,ETF 34,ETF 35,ETF 36,ETF 37,ETF 38,ETF 39,ETF 40,ETF 41,ETF 42,ETF 43,ETF 44,ETF 45,ETF 46,ETF 47,ETF 48,ETF 49,ETF 50,ETF 51,ETF 52,ETF 53,ETF 54,ETF 55,ETF 56,ETF 57,ETF 58,ETF 59,ETF 60,ETF 61,ETF 62,ETF 63,ETF 64,ETF 65,ETF 66,ETF 67,ETF 68,ETF 69,ETF 70,ETF 71,ETF 72,ETF 73,ETF 74,ETF 75,ETF 76,ETF 77,ETF 78,ETF 79,ETF 80,ETF 81,ETF 82,ETF 83,ETF 84,ETF 85,ETF 86,ETF 87,ETF 88,ETF 89,ETF 90,ETF 91,ETF 92,ETF 93,ETF 94,ETF 95,ETF 96,ETF 97,ETF 98,ETF 99,ETF 100,ETF 101,ETF 102,ETF 103,ETF 104,ETF 105
Dates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14/01/2019,103.0747721,103.4597608,102.6702462,103.339464,101.8956971,103.2984323,99.90948007,101.0750586,102.751,101.9231541,100.4700346,103.3527644,106.4631197,102.8491355,100.1940657,103.1447221,103.3000179,103.0559197,103.2055256,100.6243693,102.3071273,103.379733,103.1719554,102.9349423,102.8122535,103.051636,101.824093,103.1351195,103.1609333,102.7851709,102.4100091,102.953847,103.2271985,100.500395,100.8616535,102.6469934,105.2567855,101.7632496,100.1652806,103.0016185,102.3566059,102.1284008,99.87828886,103.8951396,100.0196391,99.98174018,102.8123035,100.1849933,105.6869374,103.2153582,102.8516816,104.5119568,101.5990616,102.3276815,103.1730097,103.3407785,99.87906897,103.0253372,103.3487959,102.4476951,100.1201994,103.2921621,102.3082537,99.9858089,99.92875034,100.6777069,103.1139065,102.7129624,104.1551622,100.1602037,102.9541947,100.0916871,103.9602019,103.3346182,102.9874862,100.4993722,103.3815302,99.89059701,103.4294068,103.330353,102.5748415,104.0626226,102.9287046,102.7910812,103.9551132,99.82248572,102.4107869,100.4892468,102.4506519,100.2384498,100.0193406,102.9788913,105.5867105,103.3626439,103.1473177,103.4635389,102.7394909,103.5988631,104.6358702,103.9270521,103.1804226,101.0003701,101.8236804,102.4522145,102.7169516
15/01/2019,104.1813478,104.2827725,103.8865108,104.1981129,102.4902176,104.2099478,100.0931039,101.2040657,104.1721611,102.1744656,100.4782667,105.3847234,106.662636,103.2115348,100.2245781,104.2607406,104.0335757,104.0354856,104.3073837,100.5251033,102.2995161,104.2573999,104.4593287,103.2966878,103.1515919,103.1920214,102.270158,104.2736629,104.0964903,104.0697022,102.9557735,104.0595411,104.3614087,100.3864735,101.0098788,102.6469934,105.6874318,102.2464947,100.235192,103.7602713,102.6266304,103.2571705,99.98332411,104.5353918,100.0305497,99.98997695,103.1521097,100.2293917,106.035295,103.9565354,103.2133078,105.2565554,103.1116873,102.5979277,103.2205397,103.8499405,100.0678721,104.1136182,104.1447202,102.8789557,100.1226424,104.2231235,103.2964044,99.98480549,99.97161839,101.1980747,104.5104621,103.7861225,105.522751,100.2236133,103.2892415,100.0982507,105.1532671,105.3662266,104.4691969,100.4562932,104.3160603,100.0802389,103.6062109,104.4090593,103.8614023,104.6998895,103.8523304,103.9853425,104.7070923,100.0062775,102.4521665,102.242381,102.8836683,100.4101533,100.075501,103.9159598,106.1465261,104.1963988,104.2227205,105.467847,103.5547607,104.0987495,105.1511588,104.6911593,104.1571626,102.7335764,102.0665323,102.8655789,103.6222323
16/01/2019,104.4145955,104.4373678,104.3010382,104.3767485,102.0095164,104.2812998,100.1515912,101.0398749,104.7534882,102.4080037,100.6384974,105.3677309,107.0556227,103.6831447,100.2395882,104.4965047,104.0933398,104.2881662,104.562807,100.3880644,102.4381053,104.4461793,104.6129815,103.8534366,103.5251754,103.5479861,102.5759206,104.7765196,104.1450931,104.5126905,103.3496134,104.2977906,104.6433195,100.374357,101.3406966,102.8026989,105.5607222,102.2556529,100.2978185,103.7851419,103.1056837,103.521648,100.0164931,103.8934208,99.8668907,99.99960305,103.525726,100.2663904,106.3599009,103.9946645,103.683422,105.5330207,103.1610792,103.0234803,103.347574,103.8381849,100.1220803,104.3699315,104.3258361,103.4500845,100.0908824,104.2730513,103.4629583,99.98380208,99.98987427,101.7174786,105.1293775,104.1234185,105.5851549,100.3025881,103.815197,100.1047986,105.3079527,105.3491649,104.269802,100.436155,104.42066,100.1383404,104.4971455,104.6595997,104.3266626,104.0768231,103.9438332,104.4877394,105.3779936,100.0475173,102.53031,102.0843951,103.4501448,100.5889086,100.0477401,104.1477609,106.6556928,104.3524588,104.6005647,105.5702953,103.2515184,104.3606517,105.7106544,105.2729663,103.9619784,103.0965568,102.2933468,103.4700855,103.6504431
17/01/2019,105.2145271,104.9282962,104.2226591,104.7910985,101.6399405,105.2200709,100.1184921,100.9147772,105.6950934,102.4383905,100.7074407,106.1560452,107.8763603,103.7215285,100.2454119,105.2954258,104.6784999,104.7575012,105.372328,100.2884226,102.2224702,104.8741389,105.4572234,103.9085462,103.4058362,103.6216219,102.3135389,105.4076687,105.0892184,104.4722964,104.1711697,105.0950904,105.4243203,100.3315096,101.4208329,102.3800697,105.634236,102.6430427,100.2375028,104.3558405,103.4039023,103.2611392,100.0058937,104.0597145,99.71414232,99.99890838,103.4062067,100.3181885,107.1088697,104.5907811,103.7195846,106.4928906,103.8525653,103.3346901,103.2496855,104.0571319,100.0949443,105.1304677,104.8371497,103.3160441,100.0688948,105.2116939,104.076295,99.98279867,99.98344406,101.3713164,106.0661143,104.6265487,105.7982704,100.2447923,103.8551645,100.1113466,104.9391887,106.1373216,105.7549505,100.4297091,104.9463002,100.1128785,104.3035499,105.4453121,104.2613026,104.1895669,104.8837331,105.0927341,105.8888756,100.0214482,102.1544925,103.0068291,103.3155192,100.5964524,99.98080006,104.6804103,107.2120992,104.8195624,104.5507391,104.5957234,103.5295913,104.8302419,106.5535242,105.7518524,104.780213,103.1465046,102.2979289,103.3395493,104.3047588
18/01/2019,106.6036568,106.2652029,105.1084136,106.0729059,103.623696,106.6765016,100.1874382,100.4065676,107.2131983,102.9618446,100.9800167,107.2013298,108.154474,105.6330235,100.2341747,106.6842718,106.0305492,106.088236,106.7404823,100.1236962,102.2850408,106.1632192,106.8375524,105.7808614,106.1236561,103.9707508,104.4990316,106.8729245,106.5077329,105.4056238,105.7415413,106.4907141,106.7963488,100.1569044,101.5935831,102.6099207,106.9300539,103.4556761,100.2611591,105.6853629,105.1896588,103.7106545,100.0547335,104.4132712,99.43046676,100.0070459,106.1235197,100.3699867,108.7532757,105.9105233,105.6310379,108.11584,105.402235,105.0914664,105.0323898,105.3326084,100.1599431,106.4792638,106.1887425,105.3033394,99.98778462,106.6841798,105.3604432,99.98172359,100.0071693,103.0959432,107.5507678,105.977455,107.8605448,100.2683529,105.7531963,100.1179102,105.8293345,107.1825098,106.5387789,100.4930865,106.3372655,100.1824642,106.3926039,106.808007,105.057663,104.5085778,106.3155374,106.4692777,107.070964,100.0796024,102.294017,104.2248497,105.3075116,100.4803435,99.88757102,106.0712172,108.3947978,106.1458928,105.4476001,106.5041505,104.4609745,105.5685111,107.2995184,107.0547429,106.1815443,104.037475,102.8179985,105.3395493,105.7220335
21/01/2019,106.6036568,106.2690276,105.10754,106.0877041,103.6575387,106.6765016,100.2772609,100.0430023,107.2131983,102.9618446,100.9800167,107.2013298,108.56711,105.426381,100.2341747,106.6842718,106.006476,106.1322625,106.7404823,100.1206685,101.9335715,106.1722771,106.8375524,105.5886842,105.4667718,104.0224717,104.2081056,106.886125,106.5077329,105.4536478,105.7415413,106.4907141,106.7963488,100.1569044,101.6730202,102.3133388,107.0901956,103.3973692,100.2082849,105.6429949,104.8830013,103.5369793,100.0988218,105.0634065,99.43046676,100.0257027,105.4668263,100.3699867,108.7532757,105.8910356,105.4243943,108.11584,105.402235,104.7936434,104.8177113,105.3171793,100.2423729,106.4792638,106.1881264,105.0702255,99.98778462,106.6841798,105.3717598,99.97864168,100.0341466,102.9234243,107.5667518,106.0396731,108.2514527,100.2106847,105.5571854,100.1375697,105.6209638,107.1825098,106.8206821,100.5085405,106.3193039,100.2631565,106.019241,106.8173339,105.1144231,105.157851,106.3155374,106.4821959,106.9403442,100.176468,101.9423309,104.2248497,105.0703142,100.4869033,99.88530902,106.0958769,108.4856247,106.1512741,105.5430992,106.8206893,105.0668256,105.5063243,107.731228,106.9058411,106.1815443,104.2678007,102.8179985,105.1406371,105.670525
22/01/2019,105.097453,105.105581,104.3318498,104.983123,102.6282824,105.3778179,100.3562556,100.2423769,105.7914262,103.0147825,101.4535426,105.0240842,107.68289,104.9759003,100.419546,105.1986492,105.0106674,104.9995478,105.2347947,100.3096372,101.6033482,105.0508112,105.3973752,105.212808,105.0298867,103.7550207,103.7988095,105.7995586,105.2614833,104.6441956,104.6040818,104.9507973,105.2887592,100.3110335,101.5947663,102.1798769,106.0656212,102.9937999,100.3685915,104.6918549,104.5690413,103.0191729,100.1263712,104.5762992,99.84943374,100.027489,105.030325,100.4365843,107.0091127,104.922929,104.9749445,106.5971387,103.5438661,104.4469612,104.2871891,104.5831925,100.3170768,105.0968528,105.0539959,104.6039979,100.2575002,105.2946508,104.4685596,99.97763827,100.0438289,102.49542,106.1423171,104.9461132,106.9586309,100.3637862,105.1319991,100.1441176,104.8734266,105.0055609,106.7863036,100.7836697,105.2231197,100.3333467,105.4127734,105.3128055,104.3946026,104.6880762,104.7547694,105.4504341,106.4653725,100.3014953,101.8449957,103.4782387,104.6064096,100.7943953,100.0655655,104.9072795,107.2934295,105.0104219,104.7541937,105.2773983,104.4256682,105.0877592,106.7745595,106.3711748,104.3539843,103.3557997,102.8569465,104.7350427,104.5094455
23/01/2019,105.3288995,105.1777329,104.488449,105.0616945,101.7583058,105.7531423,100.3851301,100.0625489,105.8146463,103.6133434,101.479378,105.2129001,108.2058646,104.8933466,100.437509,105.4081601,105.2446297,105.02817,105.4467113,100.3705248,101.9538369,105.1260539,105.7458531,105.1548723,104.85451,103.6809828,103.7765547,105.6630159,105.7016269,104.7424878,104.858467,105.1602304,105.449181,100.1627595,101.503981,102.4468006,106.1693346,103.3271567,100.4148074,104.9757515,104.6842463,103.1252982,100.1278332,103.775941,99.68359264,100.0326494,104.8544554,100.4809827,107.0051541,105.1825288,104.892287,106.5628265,103.969871,104.536814,104.4116191,104.6956049,100.3464476,105.386781,105.1451699,104.7088991,100.1856738,105.6771745,104.6262182,99.97663486,100.0395421,102.3441848,106.1166683,104.9680654,106.5794974,100.4220499,105.0758745,100.1506812,104.6222071,105.1943456,106.0677943,100.8906466,105.3858304,100.3627374,105.487841,105.5038465,104.4255627,103.9209512,104.8401311,105.3891369,106.4932462,100.344566,102.0919777,103.610743,104.713061,100.6617227,100.0629355,104.9023476,107.0815811,105.0932952,104.795715,105.5111905,103.8452168,105.4389553,106.5906512,106.2626295,104.6916269,103.2658129,103.4434567,104.7894328,104.5067512
24/01/2019,105.4761428,105.3433034,105.2966979,105.3086837,101.4025364,106.0698505,100.6067337,100.3674746,106.2007108,104.0211751,101.9035117,105.9047107,110.4912334,105.1489118,100.5703857,105.5471477,105.4218762,105.3052988,105.6111566,100.5421836,101.8666116,105.3690905,105.8023056,105.3880285,105.4096966,103.6549464,104.24939,106.0672813,105.9832574,105.562263,104.5656331,105.3139271,105.6335253,100.3104243,101.5600764,102.9584044,106.6442185,103.1852053,100.8190792,105.0818994,104.6868056,104.0602446,100.2138169,104.1952417,100.0305497,100.0381074,105.4098131,100.5179814,107.736705,105.3440412,105.1505915,107.0936835,104.9330123,104.6386081,104.4314521,104.7734854,100.5738797,105.4330014,105.3059565,105.2975115,100.4285156,105.9690601,104.8460754,99.97555978,100.0568371,103.0119326,106.5441474,105.2545438,108.373317,100.8050163,105.3076011,100.1572291,104.8442265,105.8861351,106.9410066,101.1254993,105.4745817,100.5897788,105.8661425,105.7035712,105.3087832,104.2587439,105.0182238,105.7961274,106.3211211,100.5640176,102.4643131,102.7290796,105.3022665,101.1086111,100.3308581,105.114421,107.7027596,105.2816434,105.5555556,106.0812231,104.1352121,106.3179421,107.0669133,106.0277382,104.9148116,104.0160399,103.8352273,105.3224553,104.5865496
25/01/2019,106.3740113,106.3342877,106.5405182,106.3188381,101.2577367,106.6494048,100.615552,101.1649726,106.6866217,104.065513,101.8430944,107.2450008,111.0338573,105.7825811,100.5369205,106.4891744,106.1331496,106.2092344,106.5529547,100.6571517,102.2488059,106.4015475,106.5298222,106.0309745,106.8459176,103.9142548,105.4808261,106.6468659,106.6021168,106.9031216,104.8333195,106.1793433,106.6302981,100.1353452,101.6548954,103.3958627,107.8030756,103.3756949,100.8427355,105.7477186,104.9213909,105.1584588,100.229579,105.0522343,99.73814563,100.0472374,106.8456553,100.5623798,108.8300728,106.0828516,105.7808545,108.2515594,106.457986,104.8813981,105.4725773,105.4479597,100.5847979,106.2313543,106.287309,106.4630806,100.2833969,106.5512951,105.4126761,99.97455637,100.0733191,104.1508143,107.0872318,106.1308536,110.5168344,100.8327021,105.9466561,100.1637927,106.3113418,107.226112,108.8283828,101.2424051,106.3171908,100.6074586,107.2677347,106.6330469,106.696824,105.153375,106.1454281,106.3812136,106.1486909,100.5933127,102.8726836,102.8743247,106.4643592,100.8214546,100.2536579,105.928191,108.9838338,106.2861673,106.6143498,107.6337081,105.1150334,106.2091152,107.6081044,105.8509463,105.8905691,105.6618883,103.8581378,106.4801865,105.5252712
