01/01/2019,100
02/01/2019,99.79339412
03/01/2019,98.47981496
04/01/2019,100.3233556
07/01/2019,100.9178056
08/01/2019,101.4675414
09/01/2019,102.0720753
10/01/2019,102.4357161
11/01/2019,102.4091764
14/01/2019,101.9266801
15/01/2019,102.5973496
16/01/2019,102.7114457
17/01/2019,103.0941821
18/01/2019,104.1329096
21/01/2019,104.0880293
22/01/2019,103.3210214
23/01/2019,103.451573
24/01/2019,103.6968045
25/01/2019,104.3106459
28/01/2019,103.8444646
29/01/2019,103.9026203
30/01/2019,104.8470843
31/01/2019,105.5537046
01/02/2019,105.6971954
04/02/2019,106.1180935
05/02/2019,106.7279964
06/02/2019,106.6258068
07/02/2019,105.9970374
08/02/2019,106.0107117
11/02/2019,106.1067948
12/02/2019,106.9348203
13/02/2019,107.2280444
14/02/2019,107.0925712
15/02/2019,107.7480712
18/02/2019,107.921166
19/02/2019,108.1071494
20/02/2019,108.4570197
21/02/2019,108.2953362
22/02/2019,108.8545904
25/02/2019,109.0434412
26/02/2019,108.9438121
27/02/2019,108.8223098
28/02/2019,108.5920115
01/03/2019,108.8275212
04/03/2019,108.4943953
05/03/2019,108.3274539
06/03/2019,108.024195
07/03/2019,107.4818015
08/03/2019,107.2746001
11/03/2019,108.233877
12/03/2019,108.6604437
13/03/2019,109.0801162
14/03/2019,109.0089623
15/03/2019,109.6677089
18/03/2019,110.0943397
19/03/2019,110.1083544
20/03/2019,109.755858
21/03/2019,110.7459031
22/03/2019,109.5100219
25/03/2019,109.3979707
26/03/2019,109.9745459
27/03/2019,109.7608101
28/03/2019,109.8963965
29/03/2019,110.4683263
01/04/2019,111.1850514
02/04/2019,111.1922704
03/04/2019,111.602253
04/04/2019,111.5884922
05/04/2019,112.0125412
08/04/2019,112.2174708
09/04/2019,111.839934
10/04/2019,112.2213979
11/04/2019,112.176607
12/04/2019,112.5590963
15/04/2019,112.4671156
16/04/2019,112.5579493
17/04/2019,112.5092948
18/04/2019,112.6573646
19/04/2019,112.6741785
22/04/2019,112.5289391
23/04/2019,113.0595701
24/04/2019,113.0976907
25/04/2019,112.865862
26/04/2019,113.1231405
